project,has_global_start,sprite_starting_point,laggy_movement,double_condition,missing_forever_loop,clone_initialization,missing_termination,loose_blocks,multiple_attribute_modification,empty_body,sequential_actions,duplicated_name,long_script,broadcast_sync,nested_loops,duplicated_script,race_condition
87539260.sb,0,0,2,0,0,0,0,2,1,0,0,6,7,2,0,4,1
87547558.sb,0,0,8,0,0,0,0,0,1,2,1,7,1,0,0,14,4
87547617.sb,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
87547980.sb,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
87550257.sb,0,0,0,0,0,0,0,58,0,0,0,16,16,0,0,794,0
87551697.sb,0,0,0,0,0,2,0,3,0,0,0,5,15,2,0,30,0
87552103.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87552749.sb,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
87560430.sb,0,0,0,0,0,0,0,1,0,0,0,0,40,0,0,12,0
87570217.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87574542.sb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87574553.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87578537.sb,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
87589833.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87590024.sb,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
87599641.sb,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87603165.sb,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,44,0
87604964.sb,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
87606614.sb,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87606886.sb,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,18,0
87608689.sb,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,2,0
87624504.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
87630569.sb,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
87633178.sb,0,0,0,0,0,0,0,5,0,0,0,70,162,1,0,9882,0
87633210.sb,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
87633429.sb,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0
87634445.sb,0,0,2,0,0,0,0,3,0,0,0,30,67,0,0,2564,0
87640128.sb,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87641075.sb,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
